Categoria, Num
Dato,46
Red,42
Internet,41
Empresa,23
Telecomunicaciones,20
Encuesta,12
Infraestructura,11
Trabajo,8
Conectividad,7
Redes sociales,6
Salud,6
Data,4
Oportunidad,3
Cultura,2
Sustentable,2
Teletrabajo,1
transformacion digital TD,0
Manipulación redes,0
Disrupcion,0
Sociedad digital,0
Era digital,0
2G,0
3G,0
4G,0
5G,0
Servicios públicos,0
Encuests,0
Gobierno digital,0
Gobernanza,0
Gobierno abierto,0
Colaboración,0
Video juegos,0
Empleo,0
Estrategia,0
Alfabetización digital,0
Modernización,0
Turismo,0
Liderazgo,0
Acoso digital,0
Ciberbullyng,0
Inclusión digital,0
Políticas públicas,0
Bienestar digital,0
Algoritmo,0
Acceso Internet,0
Desarrollo,0
Cambio social,0
Negocio datos,0
Ciberseguridad,0
Estado colaborador,0
privacidad,0
Censura,0
Postcensura,0
Identidad digital,0
Telefonía móvil,0
Economía digital,0
Futuro telecomunicaciones,0
Prosperidad,0
Inteligencia colaborativa,0
Derechos digitales,0
Productividad,0
Igualdad acceso,0
Inclusión cultural,0
Big data,0
Centro nacional data,0
Transformación digital,0
Digitalizados,0
Educación,0
Cultura digital,0
IoT Internet de las cosas,0
Inteligencia artificial  IA,0
Salto tecnológico,0
Ecosistema,0
Innovación,0
Creatividad,0
Igualdad,0
Ancho de banda,0
Tecnológico,0
Ciudad inteligente,0
Nube,0
Neuronas,0
Grafos,0
Milennials,0
Generación Z,0
Política digital,0
Marketing,0
Ventas digitales,0
Digitalizacion,0
Ética,0
Realidad virtual,0
Realidad aumentada,0
Ciencia datos,0
Futuro produccion,0
Geotecnologia,0
Brecha digital,0
Aprender,0
Conectivismo,0
Telemedicina,0
Predecir Futuro,0
Comercio Electrónico,0
Búsqueda laboral,0
Regulación Telecomunicaciones,0
Subsidio conectividad,0
Investigación colaborativa,0
Colectividad y redes,0
Gratuidad,0
Protocolo Internet,0
Pobreza,0
Futuro Internet,0
