Categoria, Num
Red,225
Empresa,141
5G,68
Trabajo,59
Dato,51
Infraestructura,46
Cultura,35
Data,35
Conectividad,34
4G,33
Internet,32
Oportunidad,31
Desarrollo,24
Ecosistema,23
Salud,22
Algoritmo,21
Educación,20
Igualdad,15
Aprender,14
Ciudad inteligente,13
Políticas públicas,10
Brecha digital,10
3G,8
Colaboración,8
Ancho de banda,8
Estrategia,7
Productividad,7
Telecomunicaciones,7
Liderazgo,6
Gobernanza,5
Creatividad,5
Nube,5
Servicios públicos,4
Gobierno digital,4
Empleo,4
Transformación digital,4
Marketing,4
Redes sociales,3
Big data,3
privacidad,2
Innovación,2
Digitalizacion,2
Sustentable,2
Telemedicina,2
Ciberseguridad,1
Identidad digital,1
Realidad virtual,1
Pobreza,1
transformacion digital TD,0
Manipulación redes,0
Disrupcion,0
Sociedad digital,0
Era digital,0
2G,0
Encuests,0
Gobierno abierto,0
Video juegos,0
Teletrabajo,0
Alfabetización digital,0
Modernización,0
Turismo,0
Acoso digital,0
Ciberbullyng,0
Inclusión digital,0
Bienestar digital,0
Acceso Internet,0
Cambio social,0
Negocio datos,0
Estado colaborador,0
Censura,0
Postcensura,0
Telefonía móvil,0
Economía digital,0
Futuro telecomunicaciones,0
Prosperidad,0
Inteligencia colaborativa,0
Derechos digitales,0
Igualdad acceso,0
Inclusión cultural,0
Centro nacional data,0
Digitalizados,0
Cultura digital,0
IoT Internet de las cosas,0
Inteligencia artificial  IA,0
Salto tecnológico,0
Tecnológico,0
Neuronas,0
Grafos,0
Milennials,0
Generación Z,0
Política digital,0
Ventas digitales,0
Ética,0
Realidad aumentada,0
Encuesta,0
Ciencia datos,0
Futuro produccion,0
Geotecnologia,0
Conectivismo,0
Predecir Futuro,0
Comercio Electrónico,0
Búsqueda laboral,0
Regulación Telecomunicaciones,0
Subsidio conectividad,0
Investigación colaborativa,0
Colectividad y redes,0
Gratuidad,0
Protocolo Internet,0
Futuro Internet,0
