Categoria, Num
Red,688
Empresa,670
Conectividad,514
Ecosistema,298
Infraestructura,280
Desarrollo,212
Trabajo,152
Dato,150
Digitalizacion,128
Oportunidad,118
Nube,84
Internet,72
Aprender,68
Cultura,66
Ciberseguridad,58
Salud,44
privacidad,34
4G,28
Sustentable,28
Telemedicina,28
Data,22
Turismo,18
Sociedad digital,14
Teletrabajo,14
Derechos digitales,14
Estrategia,12
Liderazgo,10
Telecomunicaciones,10
Big data,8
Empleo,6
Productividad,6
Brecha digital,6
Algoritmo,4
Encuesta,4
Disrupcion,2
Censura,2
Educación,2
Igualdad,2
Ancho de banda,2
transformacion digital TD,0
Manipulación redes,0
Era digital,0
2G,0
3G,0
5G,0
Servicios públicos,0
Encuests,0
Gobierno digital,0
Gobernanza,0
Gobierno abierto,0
Colaboración,0
Video juegos,0
Alfabetización digital,0
Modernización,0
Redes sociales,0
Acoso digital,0
Ciberbullyng,0
Inclusión digital,0
Políticas públicas,0
Bienestar digital,0
Acceso Internet,0
Cambio social,0
Negocio datos,0
Estado colaborador,0
Postcensura,0
Identidad digital,0
Telefonía móvil,0
Economía digital,0
Futuro telecomunicaciones,0
Prosperidad,0
Inteligencia colaborativa,0
Igualdad acceso,0
Inclusión cultural,0
Centro nacional data,0
Transformación digital,0
Digitalizados,0
Cultura digital,0
IoT Internet de las cosas,0
Inteligencia artificial  IA,0
Salto tecnológico,0
Innovación,0
Creatividad,0
Tecnológico,0
Ciudad inteligente,0
Neuronas,0
Grafos,0
Milennials,0
Generación Z,0
Política digital,0
Marketing,0
Ventas digitales,0
Ética,0
Realidad virtual,0
Realidad aumentada,0
Ciencia datos,0
Futuro produccion,0
Geotecnologia,0
Conectivismo,0
Predecir Futuro,0
Comercio Electrónico,0
Búsqueda laboral,0
Regulación Telecomunicaciones,0
Subsidio conectividad,0
Investigación colaborativa,0
Colectividad y redes,0
Gratuidad,0
Protocolo Internet,0
Pobreza,0
Futuro Internet,0
